"","Rank","University","Overall_score","Entry_standards","Student_satisfaction","Research_quality","Research_intensity","Academic_services_spend","Facilities_spend","Degree_completion","Student_staff_ratio","Graduate_prospect_outcome","Graduate_prospect_ontrack"
"38",38,"University of Stirling",686,163,4.05,2.96,0.74,1079,847,83.9,15.8,70.9,76
"39",38,"University of Aberdeen",686,182,4.06,2.97,0.73,1744,701,88.5,15.7,74.8,77.2
"40",40,"University of Leicester",682,130,3.96,2.93,0.82,2014,779,90.5,13.8,74,75.5
"41",41,"University of Sussex",671,137,3.91,3.01,0.73,1604,864,92.2,17.4,70.6,74.3
"42",41,"Queen Mary University of London",671,146,3.86,3.18,0.74,1471,704,91.6,13,79,77.8
"43",43,"University of the Arts London",660,137,3.92,3.12,0.17,2505,269,85.5,12.8,57.3,69.5
"44",44,"Ulster University",644,127,4.06,2.91,0.84,1664,700,87,18.9,74.5,78.1
"45",45,"Nottingham Trent University",640,120,4.11,2.59,0.23,1410,921,88.4,15.3,67.5,76.1
"46",46,"University of Lincoln",634,118,4.13,2.54,0.39,1292,781,88,15.7,69.8,78.3
"47",47,"Aston University, Birmingham",633,124,3.99,3.05,0.57,1473,517,90.2,15.8,80.2,80.4
"48",48,"SOAS University of London",632,147,3.92,2.82,0.76,2546,417,83.5,12.8,64.3,69.2
"49",49,"Northumbria University, Newcastle",631,138,4,2.71,0.29,1646,677,82.6,15.5,74.2,78.3
"50",50,"University of Kent",630,125,4.01,2.95,0.85,1211,716,88.2,16.7,69.3,73.5
"51",51,"Oxford Brookes University",626,115,3.95,2.66,0.39,1524,868,90.7,14.2,76.2,80.8
"52",52,"Coventry University",621,115,4.08,2.67,0.13,1784,616,80.1,14.2,75.5,80.7
"53",53,"University of Huddersfield",620,121,4,2.65,0.32,1805,683,83.5,13.7,69.8,76.3
"54",54,"City, University of London",613,132,3.84,2.95,0.53,1920,625,88.1,17.6,75.1,79.6
"55",55,"Bristol, University of the West of England",612,123,4.17,2.7,0.29,1249,633,82,15.8,75.7,78.7
"56",56,"Manchester Metropolitan University",608,128,4.04,2.74,0.24,2011,762,85.5,16,64.1,71.7
"57",57,"Arts University Bournemouth",606,144,4.22,2.3,0.13,1424,347,88.4,14.3,57.1,73.9
"58",58,"Keele University",605,123,4.05,2.88,0.59,1508,631,88,14.8,74.9,77.1
"59",58,"Aberystwyth University",605,118,4.29,2.84,0.76,1932,435,85,16,63,70.5
"60",60,"Edge Hill University",600,130,3.99,2.22,0.27,1638,892,86.2,14.3,68.8,75.9
"61",61,"St George's, University of London",599,147,3.83,2.99,0.52,2160,344,93,13.3,89.2,90
"62",62,"Brunel University London",596,119,3.89,2.67,0.85,1442,540,87.5,17,73.6,77.4
"63",63,"Cardiff Metropolitan University",595,124,4.08,3,0.09,1774,772,78.9,18.5,68.2,78.6
"64",63,"Goldsmiths, University of London",595,124,3.72,2.9,0.85,2090,762,79.1,14.3,60.2,70.8
"65",64,"Robert Gordon University",590,149,4.18,2.35,0.21,1229,455,84.4,18.7,76.3,81.3
"66",64,"Bangor University",590,119,4.09,2.99,0.63,1256,725,81.3,15.9,69.5,74
"67",67,"Sheffield Hallam University",585,115,4.01,2.76,0.16,2051,449,84,17.2,74.8,79.7
"68",68,"Bournemouth University",584,111,3.98,2.72,0.29,1640,736,80.8,18.6,77.5,78.1
"69",69,"University of Plymouth",577,129,4.09,2.74,0.5,1736,521,83.9,17.1,74.8,78
"70",70,"University of Chichester",573,121,4.15,2.5,0.25,1116,795,86.5,14.9,66.1,75.2
"71",70,"University of Hull",573,123,4.05,2.7,0.56,1713,790,80.9,15.5,71.6,74.8
"72",72,"University of Chester",564,117,4.12,2.08,0.29,1917,971,81,14.7,65.8,76.1
"73",73,"Liverpool John Moores University",562,139,4.06,2.79,0.26,1332,439,82.7,17.3,66.1,70.9
"74",74,"University of Portsmouth",558,113,4.07,2.75,0.27,1512,652,83.5,16.3,69.2,72.8
"75",75,"University for the Creative Arts",556,130,4.04,2.72,0.1,2492,189,84.5,14.1,53.1,60.5
"76",76,"Liverpool Hope University",554,115,4.11,2.21,0.53,884,1268,82.6,14.8,58.4,72.6
"77",77,"Edinburgh Napier University",551,144,4.09,2.52,0.19,2120,328,80.2,19.9,71.7,77.5
"78",77,"Glasgow Caledonian University",551,163,4.07,2.67,0.24,1460,283,85,22.3,72.4,76.5
"79",79,"University of Roehampton",548,102,4.02,2.83,0.67,2229,810,77.5,15.2,57.1,69.6
"80",80,"University of Hertfordshire",545,104,4.04,2.61,0.21,1638,1122,82,15.6,69.3,74.3
"81",80,"University of Brighton",545,110,3.9,2.84,0.21,1373,542,82.9,16.7,74.6,78.4
"82",82,"Birmingham City University",541,119,4.01,2.64,0.14,1448,576,82.7,16.5,69.5,76.3
"83",83,"University of Salford",540,126,4.02,2.54,0.33,1182,803,80.2,16.8,70.3,76
"84",84,"Norwich University of the Arts",536,128,4.07,2.69,0.18,2079,566,83.6,15.6,53.3,63.2
"85",85,"University of Bradford",534,124,3.96,2.95,0.23,1424,772,83.6,18.7,73.1,79.4
"86",85,"Kingston University",534,116,4.02,2.7,0.16,2027,692,82.3,17.6,68.9,74.5
"87",87,"University of Worcester",530,114,4.14,2.08,0.3,1083,626,85.3,16.9,70,79.5
"88",88,"Queen Margaret University, Edinburgh",526,153,4.02,2.65,0.22,1258,416,81.5,20.8,67.9,71.2
"89",89,"University of Central Lancashire",522,123,4.01,2.51,0.24,2060,508,72.3,14.3,69.2,74.1
"90",90,"University of Northampton",521,106,4,2.09,0.25,1958,1056,79.3,16.8,66.9,77
"91",91,"University of South Wales",515,115,4.08,2.51,0.16,1511,357,81.8,15.5,65.4,72.3
"92",92,"University of Sunderland",514,117,4.02,2.12,0.39,2013,632,77.5,15.5,61.1,71.3
"93",92,"University of Greenwich",514,115,3.98,2.33,0.25,1477,846,81.7,18.5,71.3,77.2
"94",94,"University of West London",512,115,4.22,1.92,0.13,1603,927,77.5,15.9,66,74.6
"95",95,"Teesside University, Middlesbrough",508,114,4.08,2.58,0.14,1946,523,75.6,17.9,74,77
"96",96,"University of Derby",506,116,4.11,2.07,0.19,1461,441,78.5,14.7,65.2,74.7
"97",97,"Staffordshire University",500,115,4.14,2.2,0.33,1760,523,77.8,17.7,63.9,72.9
"98",98,"University of Gloucestershire",495,115,4.03,2.38,0.18,1538,499,80.7,17.3,62.4,73.2
"99",99,"Falmouth University",488,122,4.08,2.04,0.33,1152,452,84.7,15.3,58.5,65.5
"100",100,"University of Cumbria",485,120,4.03,2.13,0.08,1407,380,81.8,16.6,72.2,81.8
"101",101,"De Montfort University",481,105,3.93,2.67,0.3,1306,904,80.2,20.2,68,73.9
"102",102,"Buckinghamshire New University",477,104,4.1,2.19,0.09,2472,373,73.1,17.4,69.5,77.7
"103",103,"University of Wales Trinity Saint David",476,135,4.19,2.39,0.12,1140,587,78.7,18.8,53.4,70.5
"104",103,"University of the West of Scotland",476,133,4.06,2.36,0.22,1757,467,78.1,20.9,69.5,75.6
"105",105,"Bath Spa University",475,105,3.93,2.52,0.3,1659,506,84.4,18,59.8,69.2
"106",106,"University of Winchester",471,108,4.01,2.32,0.3,1239,465,84.3,17.4,62.5,72.1
"107",107,"Middlesex University",465,104,3.94,2.58,0.35,2544,368,76.1,17.5,59.1,69
"108",108,"London South Bank University",464,106,3.99,2.52,0.41,1927,263,75.3,16.8,69.8,76
"109",109,"Abertay University",463,140,4.23,2.16,0.36,1093,686,73.6,22.4,62.2,70.6
"110",110,"Leeds Beckett University",460,104,4.1,2.16,0.24,1487,675,77.6,20,67.3,73.6
"111",111,"York St John University",459,107,4.14,2.04,0.29,1334,595,84.4,18.1,63.5,74
"112",111,"St Mary's University, Twickenham",459,104,4.09,1.98,0.23,1076,756,81.1,18,68.8,76.8
"113",113,"University of Bolton",452,110,4.18,2.04,0.2,1395,432,75.7,14.5,58.9,69.4
"114",114,"University of Westminster, London",450,118,3.98,2.74,0.29,1283,567,80.1,20.9,60.5,67.4
"115",115,"Royal Agricultural University",449,113,3.98,1.4,0.26,2017,981,89.5,21.7,71.2,81.7
"116",116,"Plymouth Marjon University",444,115,4.18,NA,NA,996,720,78.3,16.4,66.9,83
"117",117,"Anglia Ruskin University",443,108,4.05,2.37,0.27,1064,420,79.8,20,72.8,77.2
"118",118,"Canterbury Christ Church University",434,97,3.94,2.38,0.23,1464,501,77.2,16.4,68.5,75.4
"119",119,"London Metropolitan University",433,95,4.09,2.44,0.15,2581,1210,68,18.5,56.1,67.1
"120",120,"Solent University (Southampton)",431,109,4.12,1.63,0.07,1467,775,76.3,16.1,61,68.5
"121",121,"Newman University, Birmingham",418,102,4.18,2.13,0.2,1360,336,75.4,17.7,59.8,77.9
"122",122,"Bishop Grosseteste University",404,105,4.12,1.96,0.17,1430,972,88.1,19.1,68.4,81.4
"123",123,"University of Buckingham",398,121,4.16,NA,NA,1024,542,85,18.8,71.4,70.8
"124",124,"University of Wolverhampton",397,105,4.02,2.31,0.31,1729,329,71.3,17,63.6,72.7
"125",125,"Leeds Trinity University",396,103,4.04,2.01,0.17,1483,505,81.3,22.9,64,76.3
"126",126,"University of Suffolk",395,110,3.96,NA,NA,1961,478,65,16.5,74.4,80.9
"127",127,"University of East London",374,97,4,2.71,0.23,1105,756,76.5,21.9,56.5,69.6
"128",128,"Glyndwr University, Wrexham",364,102,4.14,2.15,0.16,1334,559,73.3,21.9,62.9,68.6
"129",129,"Ravensbourne University London",333,113,3.8,NA,NA,1163,322,79.7,22.6,70,77.5
"130",130,"University of Bedfordshire",304,103,3.93,2.52,0.27,1750,673,53.1,23.5,66.2,73.1
